price,bedrooms,sqft_living,sqft_lot,floors,condition,grade,zipcode,lat,long
538000.0,3,2570,7242,2.0,3,7,98125,47.721000000000004,-122.319
180000.0,2,770,10000,1.0,3,6,98028,47.7379,-122.23299999999999
604000.0,4,1960,5000,1.0,5,7,98136,47.5208,-122.39299999999999
510000.0,3,1680,8080,1.0,3,8,98074,47.6168,-122.045
257500.0,3,1715,6819,2.0,3,7,98003,47.3097,-122.32700000000001
229500.0,3,1780,7470,1.0,3,7,98146,47.5123,-122.337
323000.0,3,1890,6560,2.0,3,7,98038,47.3684,-122.031
468000.0,2,1160,6000,1.0,4,7,98115,47.69,-122.292
310000.0,3,1430,19901,1.5,4,7,98028,47.7558,-122.229
400000.0,3,1370,9680,1.0,4,7,98074,47.6127,-122.045
530000.0,5,1810,4850,1.5,3,7,98107,47.67,-122.39399999999999
650000.0,4,2950,5000,2.0,3,9,98126,47.5714,-122.375
395000.0,3,1890,14040,2.0,3,7,98019,47.7277,-121.962
485000.0,4,1600,4300,1.5,4,7,98103,47.6648,-122.34299999999999
189000.0,2,1200,9850,1.0,4,7,98002,47.3089,-122.21
230000.0,3,1250,9774,1.0,4,7,98003,47.3343,-122.306
385000.0,4,1620,4980,1.0,4,7,98133,47.7025,-122.34100000000001
285000.0,5,2270,6300,2.0,3,8,98092,47.3266,-122.169
329000.0,3,2450,6500,2.0,4,8,98030,47.3739,-122.17200000000001
233000.0,3,1710,4697,1.5,5,6,98002,47.3048,-122.21799999999999
937000.0,3,2450,2691,2.0,3,8,98119,47.6386,-122.36
667000.0,3,1400,1581,1.5,5,8,98112,47.6221,-122.314
438000.0,3,1520,6380,1.0,3,7,98115,47.695,-122.304
719000.0,4,2570,7173,2.0,3,8,98052,47.7073,-122.11
580500.0,3,2320,3980,2.0,3,8,98027,47.5391,-122.07
280000.0,2,1190,1265,3.0,3,7,98133,47.7274,-122.35700000000001
687500.0,4,2330,5000,1.5,4,7,98117,47.6823,-122.368
535000.0,3,1090,3000,1.5,4,8,98117,47.6889,-122.375
322500.0,4,2060,6659,1.0,3,7,98058,47.4276,-122.15700000000001
696000.0,3,2300,3060,1.5,3,8,98115,47.6827,-122.31
640000.0,4,2360,6000,2.0,4,8,98107,47.6702,-122.36200000000001
240000.0,4,1220,8075,1.0,2,7,98001,47.3341,-122.28200000000001
605000.0,4,2620,7553,2.0,3,8,98056,47.5301,-122.18
775000.0,4,4220,24186,1.0,3,8,98166,47.445,-122.34700000000001
861990.0,5,3595,5639,2.0,3,9,98053,47.6848,-122.016
685000.0,3,1570,2280,2.0,3,7,98119,47.6413,-122.36399999999999
309000.0,3,1280,9656,1.0,4,6,98058,47.4485,-122.175
488000.0,3,3160,13603,2.0,3,8,98019,47.7443,-121.977
210490.0,3,990,8528,1.0,3,6,98023,47.3066,-122.37100000000001
785000.0,4,2290,13416,2.0,4,9,98007,47.6194,-122.15100000000001
450000.0,3,1250,5963,1.0,4,7,98115,47.6796,-122.301
1350000.0,3,2753,65005,1.0,5,9,98070,47.4041,-122.45100000000001
228000.0,3,1190,9199,1.0,3,7,98148,47.4258,-122.322
345000.0,5,3150,9134,1.0,4,8,98056,47.4934,-122.189
600000.0,3,1410,4080,1.0,4,7,98117,47.6808,-122.384
585000.0,2,1980,8550,1.0,3,7,98117,47.6989,-122.369
920000.0,5,2730,6000,1.5,3,8,98105,47.6571,-122.281
292500.0,4,2250,4495,2.0,3,7,98042,47.3663,-122.11399999999999
301000.0,3,2420,4750,2.0,3,8,98042,47.3663,-122.12200000000001
951000.0,5,3250,14342,2.0,4,8,98008,47.588,-122.116
430000.0,4,1850,9976,2.0,3,8,98059,47.5059,-122.149
289000.0,3,1260,8400,1.0,3,7,98148,47.4366,-122.335
549000.0,3,1540,1044,3.0,3,8,98115,47.6765,-122.32
425000.0,3,1660,6000,1.0,3,7,98122,47.6113,-122.29700000000001
317625.0,3,2770,3809,1.5,5,7,98144,47.5747,-122.304
287000.0,4,2240,4648,2.0,3,7,98001,47.3378,-122.257
204000.0,3,1000,12070,1.0,4,7,98042,47.3621,-122.11
1330000.0,5,3200,20158,1.0,3,8,98004,47.6303,-122.215
1040000.0,5,4770,50094,1.0,4,11,98005,47.6525,-122.16
325000.0,3,1260,5612,1.0,4,7,98034,47.7362,-122.179
